,Estimator,Sample number,True MI,Estimate,Ambient dimensions,Intrinsic dimensions
1543,KSG,8000,1,1.0011993719615562,1,1
1544,InfoNCE,8000,1,0.9353902484022989,13,1
1545,LMI,8000,1,0.9952596080484151,13,1
1546,MINE,8000,1,0.8856973232880226,13,1
1547,KSG,8000,1,0.48633391869491865,13,1
1548,InfoNCE,8000,1,0.9058972875711375,25,2
1549,LMI,8000,1,0.9095854618232784,25,2
1550,MINE,8000,1,0.844749457996144,25,2
1551,KSG,8000,1,0.3316408541967445,25,2
1552,InfoNCE,8000,1,0.7954679153827315,37,3
1553,LMI,8000,1,0.7762641549973861,37,3
1554,MINE,8000,1,0.8036894600159027,37,3
1555,KSG,8000,1,0.19919283850646588,37,3
1556,InfoNCE,8000,1,0.703978648568545,50,5
1557,LMI,8000,1,0.6447860606064634,50,5
1558,MINE,8000,1,0.6668242046067472,50,5
1559,KSG,8000,1,0.1873414973215908,50,5
1560,InfoNCE,9000,1,0.9243255725763891,1,1
1561,LMI,9000,1,0.9549069908971859,1,1
1562,MINE,9000,1,0.9298362406753353,1,1
1563,KSG,9000,1,0.9869178587291262,1,1
1564,InfoNCE,9000,1,0.9421980096540523,13,1
1565,LMI,9000,1,0.9771892234572233,13,1
1566,MINE,9000,1,0.8994309118813468,13,1
1567,KSG,9000,1,0.497473858651557,13,1
1568,InfoNCE,9000,1,0.904085278361647,25,2
1569,LMI,9000,1,0.9061530756516187,25,2
1570,MINE,9000,1,0.8891283771727356,25,2
1571,KSG,9000,1,0.3316564790245483,25,2
1572,InfoNCE,9000,1,0.7818262515162936,37,3
1573,LMI,9000,1,0.8389329013875283,37,3
1574,MINE,9000,1,0.7849262387980956,37,3
1575,KSG,9000,1,0.25237081466801714,37,3
1576,InfoNCE,9000,1,0.7898523378667591,50,5
1577,LMI,9000,1,0.5487745053908389,50,5
1578,MINE,9000,1,0.7062892354828868,50,5
1579,KSG,9000,1,0.19467365428871583,50,5
1580,InfoNCE,10000,1,0.9918363302766795,1,1
1581,LMI,10000,1,1.006401958313493,1,1
1582,MINE,10000,1,1.013151860024616,1,1
1583,KSG,10000,1,0.9889273682515409,1,1
1584,InfoNCE,10000,1,0.959482953996368,13,1
1585,LMI,10000,1,1.0006515392854014,13,1
1586,MINE,10000,1,0.9121320026302161,13,1
1587,KSG,10000,1,0.5249937332518775,13,1
1588,InfoNCE,10000,1,0.9020146072452587,25,2
1589,LMI,10000,1,0.954255732218027,25,2
1590,MINE,10000,1,0.8426781849404776,25,2
1591,KSG,10000,1,0.36125727999802076,25,2
1592,InfoNCE,10000,1,0.7620950259481053,37,3
1593,LMI,10000,1,0.7966007434819823,37,3
1594,MINE,10000,1,0.7638323946871214,37,3
1595,KSG,10000,1,0.22402763164063264,37,3
1596,InfoNCE,10000,1,0.7950193846292813,50,5
1597,LMI,10000,1,0.7171287732278473,50,5
1598,MINE,10000,1,0.7379751470951998,50,5
1599,KSG,10000,1,0.19677109298721485,50,5
1600,InfoNCE,1000,1,0.9894161904137381,1,1
1601,LMI,1000,1,0.9204957716182814,1,1
1602,MINE,1000,1,1.0188182584139185,1,1
1603,KSG,1000,1,0.9947845077555888,1,1
1604,InfoNCE,1000,1,0.032473076205312076,13,1
1605,LMI,1000,1,0.7915983173990228,13,1
1606,MINE,1000,1,0.647205025735596,13,1
1607,KSG,1000,1,0.3297331898448785,13,1
