,True MI,Ambient dimensions,Intrinsic dimensions,Estimator,Estimate,Transformation
464,0.5,1000,6,InfoNCE,0.0,Asinh
465,0.5,1000,6,MINE,0.0014434933843542686,Asinh
466,0.5,1000,6,KSG,0.0063098631437574345,Asinh
467,0.5,1000,6,LMI,0.25852803642463607,Asinh
468,1.0,1000,6,InfoNCE,0.0,Asinh
469,1.0,1000,6,MINE,0.0,Asinh
470,1.0,1000,6,KSG,-0.04875198352835433,Asinh
471,1.0,1000,6,LMI,0.5323369155559328,Asinh
472,1.5,1000,6,InfoNCE,0.0,Asinh
473,1.5,1000,6,MINE,0.0014433643973661215,Asinh
474,1.5,1000,6,KSG,0.04845638668569105,Asinh
475,1.5,1000,6,LMI,0.7657715746972541,Asinh
476,2.0,1000,6,InfoNCE,1.78861956897321e-05,Asinh
477,2.0,1000,6,MINE,0.004334822714997091,Asinh
478,2.0,1000,6,KSG,0.015039073094998193,Asinh
479,2.0,1000,6,LMI,1.0712741798418686,Asinh
480,0.0,1000,7,InfoNCE,0.0,Asinh
481,0.0,1000,7,MINE,0.0006047769917590666,Asinh
482,0.0,1000,7,KSG,-0.003484822690621301,Asinh
483,0.0,1000,7,LMI,0.027972549629122115,Asinh
484,0.5,1000,7,InfoNCE,0.0,Asinh
485,0.5,1000,7,MINE,0.001443020432064396,Asinh
486,0.5,1000,7,KSG,0.007716530383101059,Asinh
487,0.5,1000,7,LMI,0.22142749591861788,Asinh
488,1.0,1000,7,InfoNCE,4.1275836207074076e-06,Asinh
489,1.0,1000,7,MINE,8.599132543140432e-08,Asinh
490,1.0,1000,7,KSG,-0.042273549548338944,Asinh
491,1.0,1000,7,LMI,0.4862743469852743,Asinh
492,1.5,1000,7,InfoNCE,0.0,Asinh
493,1.5,1000,7,MINE,3.732023523722948e-05,Asinh
494,1.5,1000,7,KSG,-0.0008902623323624042,Asinh
495,1.5,1000,7,LMI,0.7207622697993663,Asinh
496,2.0,1000,7,InfoNCE,0.0,Asinh
